Region,Sub-Region,Event Name,SF Campaign Link,Ad Campaign Name,Event Start Date,Event End Date,Event Dashboard Category,Event Type,Event Budget - Pls input in SF campaign,Event Actual Cost - Pls input in SF campaign ,Audience,
NAM,US,Creator Economy Live 2024,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009Q1CIAU/vie,Event-Tradeshow | PC - 20240116 | Creator Economy Live,1/16/2024,1/17/2024,External,Event-Tradeshow,"$25,000","$25,000",Influencer,
NAM,US,PI: Vegas/ ASW,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009Pn4IAE/view,Event-Hosted | PC - 20240115 | PI: Las Vegas,1/15/2024,1/15/2024,Impact.com Hosted,Event-Hosted,,,Affiliate/Partnerships,
NAM,US,eTail West 24,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009SPcIAM/view,Event-Tradeshow | 2024-02-26 | eTail West 2024,2/26/2024,2/29/2024,External,Event-Tradeshow,"$50,000","$46,415",Affiliate/Partnerships,
NAM,US,PI Live Miami,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE000007fjZqYAI/view,Event-Tradeshow | PC - 20240416 | PI Live Miami,4/16/2024,4/18/2024,External,Event-Tradeshow,"$26,000","$25,720",Affiliate/Partnerships,
NAM,US,Palm Springs Happy Hour,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE000007PB98YAG/view,Event-Hosted | PC - 20240226 | impact Palm Springs Happy Hour,2/26/2024,2/26/2024,Impact.com Hosted,Event-Hosted,"$20,000","$18,831",,
NAM,US,Partnerships IRL: Los Angeles,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE000008vIWfYAM/view,Event-Hosted | 20240410 | Partnerships IRL - Los Angeles,4/10/2024,4/10/2024,Impact.com Hosted,Event-Hosted,"$32,000",,,
NAM,US,iPX24 NYC,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE000007uZTQYA2/view,Event-Hosted | 2024-06-17 | impact.com's Partnerships Experience 2024 (iPX24),6/17/2024,6/18/2024,Impact.com Hosted,Event-Hosted,"$1,200,000",,Affiliate/Partnerships,
NAM,US,Convergence Webinar ,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009Sf5IAE/view,Event-Webinar | PC - 20240306 | Convergence Webinar,02/06/2024,3/12/2024,Impact.com Hosted,Event-Hosted,"$5,400",,Influencer,
NAM,US,NYC Vip Happy Hour,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000AYMetYAH/view,Event-Hosted | PC - 20240508 | NYC VIP Happy Hour,5/8/2024,5/8/2024,Impact.com Hosted,Event-Hosted,"$23,500","$17,744",,
NAM,US,Masterclassing Creator: Toronto,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000C3uMzYAJ/view,Event-Tradeshow | PC - 20240604 | Masterclassing: Creator - Toronto,6/4/2024,6/4/2024,External,Event-Tradeshow,"$6,250","$6,250",Influencer,
