,model_week,date,iso_week,iso_year,ga4_sessions,podcast_streams,linkedin_spend,linkedin_impressions,linkedin_clicks,gSearch_sessions,gSearch_impressions,gift_spend,email_sent_cnt,email_delivered_cnt,email_opened_cnt,direct_spend,fb_spend,fb_impressions,fb_clicks,googleAds_spend,googleAds_impressions,event_spend,mql_count,impactDotCom_ga4_sessions,sum_content_download,sum_blog_subscribers,sum_newsletter_signup,month,daily_avg_queries,inflation_rate,durable_goods_rates,consumer_sentiment_index,averageMQL,smoothed_MQL
20,202418,2024-05-01,18,2024,187278.0,149.0,14304.94999999999,199936,1238,1199.0,34292.0,0.0,0.0,0.0,0.0,47087.0,2937.32,90512.0,728.0,8034.96,108640.0,0.0,57,3784.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,85.0,57.0
21,202418,2024-05-02,18,2024,193436.0,180.0,14394.150000000009,170920,1163,1184.0,36945.0,250.0,0.0,0.0,0.0,15000.0,2899.6899999999996,91628.0,735.0,7081.2,96710.0,0.0,60,8394.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,48.5,60.0
22,202418,2024-05-03,18,2024,153748.0,144.0,14429.540000000005,183963,1173,1006.0,35458.0,25.12,0.0,0.0,0.0,0.0,2835.0,101188.0,696.0,5427.2,74951.0,0.0,40,4183.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,48.5,40.0
23,202418,2024-05-04,18,2024,83694.0,85.0,12565.429999999991,135511,1043,496.0,33661.0,0.0,0.0,0.0,0.0,0.0,2670.4,139315.0,769.0,3292.12,50880.0,0.0,37,3063.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,39.5,37.0
24,202418,2024-05-05,18,2024,104783.0,74.0,10269.050000000016,136991,976,537.0,27299.0,0.0,0.0,0.0,0.0,0.0,3133.619999999999,161147.0,804.0,2787.83,52470.0,0.0,39,4656.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,51.0,39.0
25,202419,2024-05-06,19,2024,210221.0,123.0,14265.17,192519,1187,1229.0,39583.0,25.0,328.0,326.0,207.0,0.0,3100.3300000000004,167056.0,842.0,7014.76,92160.0,0.0,65,4936.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,100.5,65.0
26,202419,2024-05-07,19,2024,231972.0,1605.0,14443.49,180581,1197,1259.0,40527.0,250.14,0.0,0.0,0.0,0.0,2986.76,209224.0,849.0,7523.79,99780.0,0.0,162,5770.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,75.0,75.0
27,202419,2024-05-08,19,2024,242263.0,499.0,14448.279999999995,183731,1141,1300.0,34739.0,123.17,0.0,0.0,0.0,0.0,2956.35,201448.0,810.0,7407.86,100150.0,17744.0,85,6249.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,126.5,85.0
28,202419,2024-05-09,19,2024,212878.0,239.0,14596.02,171866,1131,1210.0,34708.0,275.0,0.0,0.0,0.0,0.0,2935.61,149464.0,729.0,7066.65,95260.0,0.0,91,5567.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,66.0,91.0
29,202419,2024-05-10,19,2024,166243.0,198.0,13999.05999999998,191497,1178,984.0,33011.0,175.0,0.0,0.0,0.0,0.0,2862.74,229049.0,760.0,5251.13,76140.0,0.0,47,3263.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,54.5,47.0
30,202419,2024-05-11,19,2024,92642.0,196.0,11678.630000000005,136274,1003,462.0,23177.0,0.0,0.0,0.0,0.0,0.0,2828.5,203111.0,874.0,2532.49,5001.0,0.0,18,2826.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,32.5,18.0
31,202419,2024-05-12,19,2024,105230.0,140.0,9241.719999999996,125323,905,458.0,27072.0,0.0,0.0,0.0,0.0,0.0,3313.04,184058.0,836.0,2496.88,50450.0,0.0,18,2070.0,0.0,0.0,0.0,5,14081.0,0.0327,0.0012,69.1,43.0,18.0
