lead_mql_date,cnt_all,cnt_Linkendin,cnt_qualified,cnt_bdr,cnt_sales_sourced,cnt_pharios,cnt_DC360
2025-01-27,147,30,3,0,0,0,93
2025-01-28,52,20,8,0,0,0,0
2025-01-29,58,28,2,0,0,0,0
2025-01-30,118,39,5,0,0,0,34
2025-02-02,40,21,2,0,0,0,0
2025-02-03,70,22,2,0,0,0,1
2025-02-06,107,33,6,0,0,0,1
2025-02-08,21,1,2,0,0,0,0
2025-02-11,31,2,7,0,0,0,0
2025-02-12,49,0,7,0,0,0,0
2025-02-13,40,3,6,0,0,0,0
2025-02-15,14,0,1,0,0,0,0
2025-02-16,22,0,2,0,0,0,0
2025-02-19,38,1,7,0,0,0,1
2025-02-23,14,0,3,0,0,0,0
2025-02-26,34,0,2,0,0,0,0
2025-02-27,35,1,3,0,0,0,0
2025-02-28,27,0,2,0,0,0,0
2025-03-02,14,0,2,0,0,0,0
2025-03-03,207,1,1,0,0,181,0
2025-03-04,34,0,6,0,0,0,0
2025-03-05,43,0,4,0,0,2,0
2025-03-09,16,0,0,0,0,0,0
2025-03-11,27,0,4,0,0,0,0
2025-03-12,40,9,5,0,0,0,0
2025-03-14,44,18,4,0,0,0,0
2025-03-18,119,69,11,1,0,0,0
2025-03-26,55,22,4,0,0,0,0
2025-03-27,114,79,4,0,0,0,0
2025-03-31,48,12,5,0,0,0,0
2025-04-01,139,109,2,0,0,0,0
2025-04-03,146,99,8,0,0,0,0
2025-04-04,28,6,9,0,0,0,0
2025-04-07,144,19,1,0,0,95,0
2025-04-08,43,12,6,0,0,0,0
2025-04-12,17,11,1,0,0,0,0
2025-04-17,50,17,0,0,0,0,0
2025-04-28,40,15,4,0,0,0,0
2025-05-01,36,15,3,0,0,0,0
2025-05-03,11,5,2,0,0,0,0
2025-05-06,38,9,4,0,0,0,0
2025-05-09,29,12,3,0,0,0,0
2025-05-13,42,14,5,0,0,0,0
2025-05-16,22,7,0,0,0,0,0
2025-05-25,18,4,2,0,0,0,0
2025-06-01,17,8,0,0,0,0,0
2025-06-03,36,10,8,0,0,0,0
2025-06-06,21,3,2,0,0,0,0
2025-06-07,26,12,2,0,0,0,0
2025-06-08,17,6,1,0,0,0,0
2025-06-11,42,12,7,0,0,0,0
2025-06-13,28,11,4,0,0,0,0
2025-06-19,45,16,4,0,0,0,0
2025-07-03,36,16,6,0,0,0,0
2025-06-30,38,6,6,0,0,0,0
2025-07-02,39,14,3,0,0,0,0
2024-07-15,43,17,0,0,0,0,0
2024-08-08,78,32,0,0,0,0,1
2024-08-20,122,63,2,0,0,0,0
2024-09-23,66,23,1,0,0,0,0
2025-04-15,44,16,2,0,0,0,0
2025-06-12,37,14,3,0,0,0,0
2024-10-03,74,34,0,0,0,0,0
2024-07-16,68,28,0,0,0,0,0
2024-06-03,53,23,0,0,1,0,0
2024-06-14,188,150,0,0,0,0,0
2024-07-01,53,21,0,0,0,0,0
2024-06-13,53,24,0,0,0,0,0
2024-05-23,48,17,0,0,0,0,0
2024-08-21,66,22,0,0,0,0,0
2024-09-12,128,83,2,0,0,2,0
2024-12-09,58,26,3,0,0,0,0
2024-11-13,82,39,5,0,0,0,0
2024-08-03,23,9,0,0,0,0,0
2024-04-24,73,37,0,0,0,0,0
2024-08-07,140,86,0,0,0,0,0
2024-09-25,64,25,1,0,1,0,0
2024-10-26,22,17,0,0,0,0,0
2024-05-01,57,22,0,0,1,0,0
2024-07-17,98,59,0,0,0,0,0
2024-08-16,50,19,0,0,0,0,0
2025-05-30,256,6,6,0,0,228,0
2025-07-08,64,8,5,0,0,0,26
2025-07-07,49,13,7,0,0,0,0
2024-06-26,68,23,0,0,0,0,0
2024-08-26,56,27,0,0,0,0,0
2024-09-18,76,35,3,0,0,0,0
2025-01-07,57,27,2,0,0,0,0
2024-12-20,45,24,0,0,0,0,0
2025-04-30,28,12,2,0,0,0,0
2024-07-02,50,14,0,0,0,0,0
2025-06-23,37,9,8,0,0,0,0
2024-07-21,16,5,0,0,0,0,0
2024-05-03,40,16,0,0,0,0,0
2024-07-29,120,44,0,0,1,0,0
2024-06-17,92,21,0,0,0,0,0
2024-07-03,61,18,0,0,0,0,0
2025-03-10,96,0,3,0,0,61,0
2024-04-30,110,70,0,0,0,0,0
2024-06-16,24,10,0,0,0,0,0
2024-11-07,84,52,2,0,0,0,0
2025-01-10,45,23,3,0,0,0,0
2024-05-14,131,81,0,0,1,0,0
2024-07-19,65,44,0,0,0,0,0
2025-02-18,31,0,5,0,0,0,0
2025-06-10,145,12,7,0,0,98,0
2025-05-07,41,16,5,0,0,0,0
2024-04-26,37,13,0,0,0,0,0
2024-04-03,61,34,0,0,0,0,0
2024-04-22,93,66,0,0,0,0,0
2024-04-25,64,21,0,0,1,0,0
2024-05-04,37,20,0,0,0,0,0
2024-07-10,43,12,0,0,0,0,0
2024-08-25,28,15,0,0,0,0,0
2024-10-14,56,15,1,0,0,0,0
2025-02-07,60,1,3,0,0,0,1
2025-02-20,42,5,6,0,0,0,0
2024-05-22,57,23,0,0,0,0,0
2024-06-04,59,23,0,0,0,0,0
2024-06-24,80,16,0,0,0,0,20
2024-06-28,45,15,0,0,0,0,0
2024-07-05,36,11,0,0,0,0,6
2024-07-14,27,13,0,0,0,0,0
2024-07-23,89,19,0,0,0,0,0
2025-06-25,99,13,9,0,0,32,0
2024-08-27,131,63,0,0,0,0,0
2025-06-24,193,12,2,0,0,153,0
2024-05-12,18,7,0,0,0,0,0
2024-08-23,67,16,0,0,0,0,0
2024-06-12,50,23,0,0,0,0,0
2024-07-07,20,7,0,0,0,0,0
2025-01-19,28,18,1,0,0,0,0
2025-06-27,42,12,3,0,0,0,0
2025-02-01,34,19,0,0,0,0,0
2025-01-15,68,41,2,0,0,0,0
2025-05-20,25,7,3,0,0,0,0
2025-03-22,18,7,3,0,0,0,0
2025-05-23,37,12,0,0,0,0,0
2025-05-05,52,16,6,0,0,0,0
2024-08-31,26,12,0,0,0,0,0
2024-04-06,21,10,0,0,0,0,0
2024-04-08,57,22,0,0,1,0,0
2024-04-11,61,34,0,0,0,0,0
2025-05-12,28,4,3,0,0,0,0
2024-04-13,21,13,0,0,0,0,0
2024-04-16,52,20,0,0,0,0,0
2024-04-23,54,20,0,0,0,0,0
2024-05-05,39,19,0,0,1,0,0
2024-05-18,24,11,0,0,0,0,0
2024-05-25,16,7,0,0,0,0,0
2024-06-01,11,7,0,0,0,0,0
2024-06-07,35,16,0,0,0,0,0
2024-06-08,23,11,0,0,0,0,0
2024-06-09,21,10,0,0,0,0,0
2024-06-11,55,21,0,0,0,0,0
2024-06-27,57,18,0,0,0,0,0
2024-06-15,20,9,0,0,0,0,0
2024-06-21,40,24,0,0,0,0,0
2024-06-29,25,13,0,0,0,0,0
2024-06-30,22,8,0,0,0,0,0
2025-05-19,52,16,8,0,0,0,0
2024-07-24,75,25,0,0,0,0,0
2024-07-26,68,37,0,0,0,0,0
2024-07-27,27,13,0,0,0,0,0
2024-07-31,90,32,0,0,0,0,0
2024-08-02,104,65,0,0,0,0,0
2024-08-04,21,16,0,0,0,0,0
2024-08-06,65,24,0,0,0,0,0
2024-08-11,18,9,0,0,0,0,0
2024-08-15,104,54,0,0,2,0,0
2024-08-28,64,18,0,0,0,0,0
2025-04-21,34,14,8,0,0,0,0
2024-08-29,89,53,0,0,0,0,0
2024-09-01,21,10,0,0,0,0,0
2024-12-19,119,82,4,0,0,0,0
2024-09-05,218,56,0,0,0,54,1
2024-09-08,26,10,0,0,0,0,0
2024-09-13,61,26,2,0,0,0,0
2024-09-14,40,21,0,0,0,0,0
2024-09-15,24,14,0,0,0,0,0
2024-10-13,36,20,1,0,0,0,0
2024-09-21,38,13,2,0,0,0,0
2025-04-16,62,25,6,0,0,0,0
2024-09-28,28,13,0,0,0,0,0
2024-10-04,49,26,2,0,0,0,0
2024-10-05,20,9,0,0,0,0,0
2024-10-11,40,15,1,0,0,0,0
2025-03-13,269,232,6,0,0,0,0
2024-10-12,32,9,0,0,0,0,0
2024-10-21,46,23,3,0,0,0,0
2024-10-19,23,12,1,0,0,0,0
2024-10-23,60,26,4,0,1,0,0
2024-10-22,101,57,2,0,0,0,1
2024-10-27,19,12,0,0,0,0,0
2024-10-28,36,13,0,0,0,0,0
2024-10-31,56,28,0,0,0,0,0
2024-11-01,31,17,0,0,0,0,0
2024-11-02,17,10,0,0,0,0,0
2024-11-11,115,71,2,0,0,0,0
2024-11-09,29,14,1,0,0,0,0
2024-11-15,34,14,2,0,0,0,0
2024-11-17,28,8,1,0,0,0,0
2024-12-25,7,3,0,0,0,0,0
2024-11-24,23,9,0,0,0,0,0
2024-11-28,18,5,0,0,0,0,0
2024-11-30,20,10,0,0,0,0,0
2024-12-08,26,18,1,0,0,0,0
2024-12-12,73,37,3,0,0,0,0
2024-12-14,18,9,0,0,0,0,0
2025-01-02,51,19,1,0,0,0,0
2024-12-17,50,21,0,0,0,0,0
2025-04-29,43,22,4,0,0,0,0
2024-12-24,27,7,2,0,0,0,0
2024-12-27,16,9,2,0,0,0,0
2024-12-30,29,11,2,0,0,0,0
2025-01-01,15,7,0,0,0,0,0
2025-01-03,35,12,3,0,0,0,0
2025-01-06,144,106,3,0,0,0,0
2025-03-08,12,0,1,0,0,0,0
2025-01-09,79,44,7,0,0,0,0
2025-01-12,28,11,2,0,0,0,0
2025-01-14,26,4,1,0,0,0,0
2025-04-10,47,14,5,0,0,1,0
2025-01-20,37,13,1,0,0,0,0
2025-01-22,76,51,0,1,1,0,0
2025-04-26,18,7,5,0,0,0,0
2025-04-02,141,108,5,0,0,0,0
2025-03-01,20,0,5,0,0,0,0
2025-01-31,55,30,1,0,0,0,0
2025-02-14,36,1,3,0,0,0,0
2025-02-04,79,27,6,0,0,0,0
2025-02-09,19,0,1,0,0,0,0
2025-03-06,35,1,5,0,0,0,0
2025-02-10,32,0,4,0,0,0,0
2025-02-21,28,1,9,0,0,0,0
2025-02-22,9,0,1,0,0,0,0
2025-02-24,36,0,6,0,0,0,0
2025-02-25,73,1,5,0,0,0,33
2025-03-29,15,3,1,0,0,0,0
2025-03-07,31,0,9,0,0,0,0
2025-04-14,35,15,2,0,0,0,0
2025-03-20,71,30,4,0,0,1,0
2025-03-23,21,8,1,0,0,0,0
2025-03-15,23,10,1,0,0,0,0
2025-03-16,22,4,1,0,0,0,0
2025-03-17,153,120,2,0,0,0,0
2025-03-28,119,96,3,0,0,0,0
2025-03-25,47,14,5,0,0,0,0
2025-03-19,67,31,3,0,1,0,0
2025-04-18,32,13,2,0,0,0,0
2025-05-08,43,16,5,0,0,0,0
2025-03-21,35,6,9,0,0,0,0
2025-03-24,44,11,4,0,0,0,0
2025-06-09,113,8,8,0,0,0,0
2025-04-24,40,15,4,0,0,1,0
2025-03-30,11,5,0,0,0,0,0
2025-07-01,52,12,10,0,0,0,0
2025-04-05,19,12,2,0,0,0,0
2025-04-06,11,2,2,0,0,0,0
2025-04-09,32,10,5,0,0,0,0
2025-04-11,40,17,3,0,0,0,0
2025-06-17,34,10,4,0,0,0,0
2025-04-13,14,7,2,0,0,0,0
2025-04-23,29,8,7,0,0,0,0
2025-04-19,10,3,1,0,0,0,0
2025-04-20,9,6,0,0,0,0,0
2025-04-25,27,8,3,0,0,0,0
2025-04-27,13,5,0,0,0,0,0
2025-05-02,24,9,2,0,0,0,0
2025-05-10,11,7,0,0,0,0,0
2025-05-14,49,12,3,0,0,0,0
2025-05-15,34,8,3,0,0,0,0
2025-05-18,16,9,1,0,0,0,0
2025-05-22,40,12,7,0,0,0,0
2025-05-24,16,7,0,0,0,0,0
2025-05-26,12,3,1,0,0,0,0
2025-05-27,40,10,3,0,0,0,0
2025-05-28,39,9,7,0,0,0,0
2025-05-29,45,11,5,0,0,0,1
2025-05-31,24,13,3,0,0,0,0
2025-06-02,33,5,2,0,0,0,0
2025-06-04,49,6,4,0,0,16,0
2025-06-05,41,15,3,0,0,0,0
2025-06-14,19,6,0,0,0,0,0
2025-06-15,16,7,1,0,0,0,0
2025-06-16,29,1,5,0,0,0,0
2025-06-18,26,7,1,0,0,0,0
2025-06-20,42,15,3,0,0,0,0
2025-06-21,13,8,1,0,0,0,0
2025-06-22,12,3,1,0,0,0,0
2025-06-28,16,5,2,0,0,0,0
2025-06-29,18,4,3,0,0,0,0
2025-07-04,16,8,1,0,0,0,0
2025-07-05,17,9,1,0,0,0,0
2025-07-06,21,11,2,0,0,0,0
2024-07-06,22,13,0,0,0,0,0
2024-08-10,28,21,0,0,0,0,0
2024-09-22,26,15,0,0,0,0,0
2024-10-20,31,17,1,0,0,0,0
2024-11-03,21,16,0,0,0,0,0
2024-11-16,20,8,1,0,0,0,0
2024-12-07,26,16,2,0,0,0,0
2024-12-23,15,4,3,0,0,0,0
2024-12-28,9,5,0,0,0,0,0
2025-01-18,28,21,0,0,0,0,0
2024-12-21,24,13,0,0,0,0,0
2025-05-11,10,5,0,0,0,0,0
2025-05-04,11,6,0,0,0,0,0
2025-05-17,11,6,1,0,0,0,0
