Region,Sub-Region,Event Name,SF Campaign Link,Ad Campaign Name,Event Start Date,Event End Date,Event Dashboard Category,Event Type,Event Budget - Pls input in SF campaign,Event Actual Cost - Pls input in SF campaign,Audience,
NAM,US,iPX23,https://impactradius.lightning.force.com/lightning/r/Campaign/701K500000095GFIAY/view,Event-Hosted | 2023-06-14 | impact.com's Partnerships Experience 2023,6/13/2023,6/14/2023,Impact.com Hosted,Event-Hosted Splash,"$800,000.00",916994.00,Affiliate/Partnerships,
NAM,US,eTail West 23,https://impactradius.lightning.force.com/lightning/r/Campaign/701K500000097CMIAY/view,Event-Tradeshow | 2023-02-27 | eTail West 2023,2/28/2023,3/2/2023,External,Event-Tradeshow,"$68,000.00",69279.00,Affiliate/Partnerships,
NAM,US,PI Live Miami,https://impactradius.lightning.force.com/lightning/r/Campaign/701K500000099q4IAA/view,Event-Tradeshow | PC - 20230402 | PI Live Miami,4/2/2023,4/4/2023,External,Event-Tradeshow,"$45,000.00",40918.00,Affiliate/Partnerships,
NAM,US,Affiliate Summit West,https://impactradius.lightning.force.com/lightning/r/Campaign/701K5000000949yIAA/view,Event-Tradeshow | 2023-01-23 | ASW 2023,1/23/2023,1/25/2023,External,Event-Tradeshow,"$12,000.00",18298.00,Affiliate/Partnerships,
NAM,US,Santa Barbara Zoo Happy Hour,https://impactradius.lightning.force.com/lightning/r/Campaign/7014W000001unfxQAA/view,Event-Hosted | 2023-09-11 | Santa Barbara Zoo Happy Hour,9/11/2023,9/11/2023,impact.com Hosted,Event-Hosted Splash,"$70,000.00",65465.00,Affiliate/Partnerships,
NAM,US,ASE VIP Dinner,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009GJLIA2/related/CampaignMembers/view,Event-Hosted | 2023-07-31 | ASE Dinner with impact (for Affiliate Summit East),7/31/2023,7/31/2023,Impact.com Hosted,Event-Hosted Splash,"$35,000.00",26351.00,Affiliate/Partnerships,
NAM,US,Miami IRL,https://impactradius.lightning.force.com/lightning/r/Campaign/701K500000097P7IAI/view,Event-Hosted | 2023-04-04 | Partnerships IRL - Miami,4/4/2023,4/4/2023,Impact.com Hosted,Event-Hosted Splash,"$30,000.00",29270.00,Influencer,
NAM,US,NYC IRL,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009AsqIAE/view,Event-Hosted | 2023-05-04 | Partnerships IRL - New York City,5/4/2023,5/4/2023,Impact.com Hosted,Event-Hosted Splash,"$40,000.00",45043.00,Influencer,
NAM,US,Dallas IRL,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009K3UIAU/view,Event-Hosted | 2023-10-04 | Partnerships IRL - Dallas,10/4/2023,10/4/2023,Impact.com Hosted,Event-Hosted,"$30,000.00",,Influencer,
NAM,US,iPX Connect / Creator Edition,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009JBmIAM/view,Event-Hosted | PC - 20231024 | iPX Connect - Creator Edition,10/24/2023,10/24/2023,Impact.com Hosted,Event-Hosted,"$100,000.00",,Influencer,
