date,week,year,mql_count
2017-10-31,44,2017,15
2017-11-03,44,2017,8
2017-11-04,44,2017,2
2017-11-06,45,2017,14
2017-11-07,45,2017,8
2017-11-09,45,2017,6
2017-11-11,45,2017,1
2017-11-12,46,2017,2
2017-11-16,46,2017,5
2017-11-17,46,2017,10
2017-11-18,46,2017,1
2017-11-19,47,2017,2
2017-11-21,47,2017,3
2017-11-22,47,2017,6
2017-11-23,47,2017,2
2017-11-24,47,2017,2
2017-11-25,47,2017,2
2017-11-27,48,2017,8
2017-11-29,48,2017,1
2017-11-30,48,2017,8
2017-12-01,48,2017,6
2024-09-20,37,2024,49
2017-12-02,48,2017,2
2017-12-04,49,2017,7
2017-12-06,49,2017,5
2017-12-08,49,2017,6
2017-12-09,49,2017,4
2017-12-10,50,2017,2
2017-12-18,51,2017,8
2017-12-13,50,2017,1
2017-12-14,50,2017,7
2017-12-15,50,2017,4
2017-12-21,51,2017,7
2017-12-22,51,2017,7
2017-12-24,52,2017,3
2017-12-27,52,2017,5
2017-12-28,52,2017,5
2017-12-29,52,2017,6
2017-12-30,52,2017,5
2017-12-31,53,2017,3
2018-01-06,0,2018,3
2018-01-07,1,2018,2
2018-01-09,1,2018,5
2018-01-12,1,2018,3
2018-01-13,1,2018,5
2018-01-15,2,2018,11
2018-01-16,2,2018,10
2018-01-17,2,2018,4
2018-01-18,2,2018,11
2018-01-19,2,2018,7
2018-01-20,2,2018,3
2018-01-23,3,2018,7
2018-01-25,3,2018,5
2018-01-26,3,2018,8
2018-01-29,4,2018,10
2018-01-31,4,2018,21
2024-05-27,21,2024,61
2017-08-26,34,2017,1
2017-10-29,44,2017,2
2018-05-07,18,2018,3
2018-06-14,23,2018,2
2018-03-13,10,2018,2
2018-03-23,11,2018,4
2018-03-27,12,2018,13
2018-04-20,15,2018,2
2018-04-24,16,2018,4
2018-04-27,16,2018,2
2018-04-28,16,2018,2
2018-04-29,17,2018,1
2018-05-01,17,2018,4
2018-05-08,18,2018,6
2018-05-13,19,2018,1
2018-05-15,19,2018,2
2018-05-16,19,2018,8
2018-05-17,19,2018,8
2018-05-19,19,2018,3
2018-05-24,20,2018,6
2018-06-06,22,2018,3
2018-06-07,22,2018,10
2018-06-08,22,2018,1
2018-06-13,23,2018,5
2018-09-11,36,2018,11
2017-10-12,41,2017,2
2018-04-11,14,2018,19
2018-06-23,24,2018,2
2018-07-25,29,2018,8
2018-08-02,30,2018,4
2018-08-03,30,2018,4
2018-08-06,31,2018,7
2018-08-16,32,2018,8
2018-08-19,33,2018,1
2018-08-28,34,2018,3
2018-08-30,34,2018,7
2018-09-04,35,2018,8
2018-09-06,35,2018,4
2018-09-07,35,2018,4
2018-09-09,36,2018,5
2018-09-10,36,2018,6
2018-09-13,36,2018,7
2018-09-17,37,2018,9
2018-09-18,37,2018,10
2018-09-21,37,2018,10
2018-09-25,38,2018,8
2018-09-26,38,2018,6
2018-09-28,38,2018,7
2018-09-29,38,2018,3
2018-10-03,39,2018,5
2018-10-04,39,2018,7
2018-10-08,40,2018,7
2018-10-11,40,2018,4
2018-10-13,40,2018,3
2018-10-22,42,2018,7
2018-10-25,42,2018,5
2018-11-03,43,2018,2
2018-11-16,45,2018,6
2018-11-26,47,2018,7
2018-12-11,49,2018,8
2018-12-18,50,2018,11
2019-01-22,3,2019,10
2019-01-30,4,2019,8
2019-02-03,5,2019,3
2019-02-20,7,2019,4
2019-05-16,19,2019,10
2019-03-08,9,2019,7
2019-05-23,20,2019,6
2019-04-03,13,2019,9
2019-04-13,14,2019,5
2019-04-14,15,2019,5
2019-04-18,15,2019,13
2019-04-22,16,2019,7
2019-04-27,16,2019,4
2019-04-30,17,2019,13
2019-05-10,18,2019,11
2019-05-11,18,2019,5
2019-05-12,19,2019,4
2019-05-13,19,2019,3
2019-05-20,20,2019,5
2019-05-21,20,2019,5
2019-05-29,21,2019,7
2019-06-05,22,2019,5
2019-06-07,22,2019,4
2019-06-08,22,2019,2
2019-06-14,23,2019,9
2019-06-26,25,2019,21
2019-07-02,26,2019,8
2019-07-10,27,2019,11
2019-07-18,28,2019,10
2019-07-23,29,2019,16
2019-07-29,30,2019,10
2019-07-31,30,2019,5
2019-08-07,31,2019,10
2019-08-12,32,2019,14
2019-08-15,32,2019,13
2019-08-28,34,2019,15
2019-08-30,34,2019,10
