,domainsub1,ga4_page_path,Include,ga4_sessions,domainsub2
0,,https://impact.com/,0,3572169,
1,partners,https://impact.com/partners/affiliate-partners/https://impact.com/partners/https://impact.com/partners/influencer-partners/https://impact.com/partners/publishers-media-groups-partners/https://impact.com/partners/mobile-app-partners/https://impact.com/partners/premium-news-and-media-publishers/https://impact.com/partners/affiliate-partners/?irclickid=yctzOaQTmxyKThk1NNRW%3AxEGUkCSVhT8OR3qS00&irgwc=1&mpid=2431314https://impact.com/partners/affiliate-partners/?hl=vi-VNhttps://impact.com/partners/affiliate-partners/?_gl=xxxxxxxxxxxxxxxxxxxxxxxxxx&gclid=EAIaIQobChMI-8zdy_mQjQMVOaWDBx3PbQqJEAAYAyAAEgLCu_D_BwE&gbraid=0AAAAADkCDeNM68cSZLJQjtG3OWbzwN3Nkhttps://impact.com/partners/affiliate-partners/?fbclid=IwZXh0bgNhZW0CMTAAAR3cdenCMGBmPxnthp4hDL16MrmdqAR7Pjyinit0cE1q41XbbI_91ga4nZk_aem_AbUYoQLPfbyXmkudNr5XWGiX6B-53iNM3yOIm4RO9chsYQj3Lg1uwykGabCIL8N1HmvwUIs0ReIb7_9_5SPy1QgBhttps://impact.com/partners/affiliate-partners/?irclickid=UipQPdWRmxyKUa73tL2Hsws0UkCTPvS-K37NWw0&irgwc=1&mpid=2431314https://impact.com/partners/affiliate-partners/?irclickid=30t3gTxcAxyKWJAwKxWi2V0lUkHVJ7RAXQ2TQQ0&irgwc=1&mpid=2431314https://impact.com/partners/affiliate-partners/?irclickid=V48SayQ%3ACxyPRvsxlowyqQ4cUkHQOeTfZXk4SQ0&irgwc=1&mpid=2431314https://impact.com/partners/affiliate-partners/?irclickid=3w8xRIx1FxyKUKIyPw3rF19CUkHVZxXNBSRcQw0&irgwc=1&mpid=2431314https://impact.com/partners/influencer-partners/?_gl=xxxxxxxxxxxxxxxxx&gclid=Cj0KCQiAlbW-BhCMARIsADnwasqii6ko1yeH1-_z7AgQ5GZqDtQXErqpC5h74Uk5PSXnQrXi9OkO_rIaAlTCEALw_wcBhttps://impact.com/partners/affiliate-partners/?irclickid=yzYyruXkoxyKRiQ2XTQp1VqJUks2MgyHISMkWc0&irgwc=1&mpid=2431314,1,440737,affiliate-partnersinfluencer-partnerspublishers-media-groups-partnersmobile-app-partnerspremium-news-and-media-publishersaffiliate-partnersaffiliate-partnersaffiliate-partnersaffiliate-partnersaffiliate-partnersaffiliate-partnersaffiliate-partnersaffiliate-partnersinfluencer-partnersaffiliate-partners
2,affiliate-marketing,https://impact.com/affiliate-marketing/https://impact.com/affiliate-marketing/?_gl=xxxxxxxxxxxxxxxxxx&gclid=CjwKCAiAwaG9BhAREiwAdhv6Y2EDiTNS_yZpkdWCDu8AyTuNY2sP39CzNO6zUWR95lML57Rbed_aOxoCQXwQAvD_BwEhttps://impact.com/affiliate-marketing/?_gl=xxxxxxxxxxxxxxxxx&gclid=EAIaIQobChMI1c_MyoPYigMVpChECB0IvQNEEAAYASAAEgKJOvD_BwEhttps://impact.com/affiliate-marketing/?_gl=xxxxxxxxxxxxxxxxx&gclid=CjwKCAjwwe2_BhBEEiwAM1I7sRdcclQGrB1LPmeWWCB76Fg0cQHsjKhVYuGgSnv2htL6O8z2Xs0NuxoCM74QAvD_BwE,0,283069,?_gl=xxxxxxxxxxxxxxxxxx&gclid=CjwKCAiAwaG9BhAREiwAdhv6Y2EDiTNS_yZpkdWCDu8AyTuNY2sP39CzNO6zUWR95lML57Rbed_aOxoCQXwQAvD_BwE?_gl=xxxxxxxxxxxxxxxxx&gclid=EAIaIQobChMI1c_MyoPYigMVpChECB0IvQNEEAAYASAAEgKJOvD_BwE?_gl=xxxxxxxxxxxxxxxxx&gclid=CjwKCAjwwe2_BhBEEiwAM1I7sRdcclQGrB1LPmeWWCB76Fg0cQHsjKhVYuGgSnv2htL6O8z2Xs0NuxoCM74QAvD_BwE
