Email Name,Sent,Delivered,% Delivered,Hard Bounced,Soft Bounced,Pending,Opened,% Opened,Clicked Email,% Clicked Email,Clicked to Opened Ratio,Unsubscribed,% Unsubscribed,First Activity (PDT),Last Activity (PDT),Include,days_between
6Sense-Email-Send | 20240703.6Sense-7-3-Email,"8,262","7,772",94.10%,131,359,0,"1,121",14.40%,110,1.40%,9.80%,20,0.30%,"Jul 3, 2024 10:00 AM","Apr 14, 2025 5:28 PM",0,285
6Sense-Email-Send | 20240716 - Resend.6Sense-7-16-Email-Resend,"6,128","5,779",94.30%,41,308,0,281,4.90%,23,0.40%,8.20%,6,0.10%,"Jul 16, 2024 10:00 AM","Mar 12, 2025 11:16 PM",0,240
Blog and Newsletter Subscriber.[New] Thank you for subscribing,893,671,75.10%,73,149,0,419,62.40%,106,15.80%,25.30%,7,1.00%,"Nov 6, 2023 3:17 PM","Jun 6, 2025 12:08 PM",0,578
Blog and Newsletter Subscriber.Thank you for subscribing,458,396,86.50%,16,46,0,231,58.30%,61,15.40%,26.40%,0,0.00%,"Jun 6, 2023 5:31 AM","Jun 2, 2025 3:22 PM",0,727
CD | 2024 Southeast Asia eCommerce Influencer Marketing Report-2024-southeast-asia-ecomm-influencer-marketing-report-infl-rrt-crb-ed-sea.Content download follow-up v 2024,110,97,88.20%,8,5,0,44,45.40%,13,13.40%,29.50%,0,0.00%,"Oct 16, 2024 10:06 AM","May 27, 2025 6:13 PM",0,223
CD | 5 rules to win partner relationships-PARM-IGC-APAC-0722.Content download follow-up,1,1,100.00%,0,0,0,0,0.00%,0,0.00%,,0,0.00%,"Jul 15, 2023 10:44 AM","Jul 15, 2023 10:44 AM",0,0
CD | 5 steps to influencer marketing-INFL-IGC-0722.Content download follow-up,2,2,100.00%,0,0,0,2,100.00%,0,0.00%,,0,0.00%,"Aug 24, 2023 3:30 AM","Oct 3, 2023 8:51 AM",0,40
CD | AdWeek - The Secrets to Thriving Creator Brand Collabs-INFL-RRT-NAM-0623.Content download follow-up v 2023,394,362,91.90%,20,12,0,190,52.50%,35,9.70%,18.40%,7,1.90%,"Jul 11, 2023 10:23 AM","Mar 30, 2025 8:22 PM",0,628
CD | Affiliate marketing: How to give your businesses the strategic edge.Content download follow-up v 2024,12,11,91.70%,1,0,0,6,54.50%,2,18.20%,33.30%,0,0.00%,"Oct 23, 2024 7:27 PM","May 12, 2025 1:59 PM",0,201
CD | ANZ Customer Video Testimonials-AFFA-CTV-APAC-1023.Content download follow-up,1,1,100.00%,0,0,0,1,100.00%,0,0.00%,,0,0.00%,"Oct 23, 2023 12:31 PM","Oct 23, 2023 12:35 PM",0,0
CD | BBQGuys-INFL-CSB-STU-0822.Content download follow-up,5,5,100.00%,0,0,0,4,80.00%,0,0.00%,,1,20.00%,"Jul 12, 2023 12:38 AM","Apr 10, 2024 12:55 PM",0,274
CD | BDG Studios x Pressboard-PUMB-CSP-NAM-PSB-0923.Content download follow-up v 2023,3,3,100.00%,0,0,0,2,66.70%,0,0.00%,,0,0.00%,"Sep 21, 2023 12:44 PM","Nov 9, 2023 8:14 PM",0,49
CD | Booktopia-JS Health-Sixfold--Go Digital-Testimonial-AGEN-VID-APAC-1022.Content download follow-up,1,1,100.00%,0,0,0,0,0.00%,0,0.00%,,0,0.00%,"Jul 27, 2023 9:28 PM","Jul 27, 2023 9:28 PM",0,0
CD | Bowlero TikTok Case Study-INFL-CSB-NAM-STU-0123.Content download follow-up,9,9,100.00%,0,0,0,6,66.70%,2,22.20%,33.30%,0,0.00%,"Jun 6, 2023 5:50 PM","Nov 19, 2024 10:56 AM",0,532
CD | build multigenerational partnerships-PART-DEI-IGC-0623.Content download follow-up,1,1,100.00%,0,0,0,1,100.00%,1,100.00%,100.00%,0,0.00%,"Jul 15, 2023 9:07 PM","Jul 15, 2023 9:38 PM",0,0
CD | Compare Club-AFFA-FINS-PARS-CSB-APAC-IMP-0723.Content download follow-up,11,11,100.00%,0,0,0,5,45.50%,2,18.20%,40.00%,0,0.00%,"Jul 19, 2023 10:34 AM","Jan 22, 2024 2:05 PM",0,187
CD | Consumer research (influencer)-INFL-IGC-NAM-IMP-0623.Content download follow-up,12,12,100.00%,0,0,0,8,66.70%,3,25.00%,37.50%,0,0.00%,"Jul 11, 2023 10:47 AM","Nov 2, 2023 8:02 AM",0,114
CD | Convergence White Paper: impact x Acceleration Partners.Content download follow-up v 2024,571,537,94.00%,14,20,0,341,63.50%,98,18.20%,28.70%,10,1.90%,"Oct 21, 2024 1:22 PM","Jun 6, 2025 8:33 AM",0,228
CD | Cozy Earth-AFFA-COMB-INTE-RETL-CSB-NAM-PMP-0223.Content download follow-up,9,9,100.00%,0,0,0,7,77.80%,2,22.20%,28.60%,0,0.00%,"Jul 12, 2023 12:33 AM","Feb 20, 2025 8:43 AM",0,589
CD | Customer referral marketing in Singapore-refr-rrt-adv-ed-sea.Content download follow-up v 2024,24,23,95.80%,0,1,0,11,47.80%,3,13.00%,27.30%,1,4.30%,"Aug 18, 2024 10:04 PM","Mar 30, 2025 5:12 PM",0,224
CD | Customer referral mkting: A consumer perspective-refr-rrt-adv-ed-nam-0424.Content download follow-up v 2024,32,30,93.80%,1,1,0,14,46.70%,4,13.30%,28.60%,0,0.00%,"Aug 16, 2024 12:51 PM","Jun 2, 2025 9:10 PM",0,290
CD | Customer Testimonial Jane.com-PARS-iPX-CTV-0822.Content download follow-up,8,8,100.00%,0,0,0,6,75.00%,1,12.50%,16.70%,1,12.50%,"Jun 14, 2023 6:59 PM","May 6, 2024 1:55 AM",0,326
CD | Cyber Week Benchmark-PARS-CSB-0823.Content download follow-up,5,5,100.00%,0,0,0,1,20.00%,1,20.00%,100.00%,0,0.00%,"Aug 16, 2023 10:53 AM","Jul 22, 2024 11:36 AM",0,341
CD | Cyber Week Consumer Research-DATA-PARS-IGC-NAM-IMP-0823.Content download follow-up,4,4,100.00%,0,0,0,4,100.00%,1,25.00%,25.00%,0,0.00%,"Aug 24, 2023 7:22 PM","Oct 10, 2023 11:31 PM",0,47
CD | Decathlon and Seven Square Media-AGEN-CSB-IMP-0723.Content download follow-up,18,17,94.40%,0,1,0,12,70.60%,2,11.80%,16.70%,0,0.00%,"Jul 5, 2023 8:45 AM","Apr 10, 2024 9:05 PM",0,281
CD | Digiday x impact.com-COMC-PUMB-RRT-PSB-0523.Content download follow-up,30,27,90.00%,1,2,0,22,81.50%,6,22.20%,27.30%,0,0.00%,"Jun 13, 2023 9:35 AM","Feb 4, 2025 6:54 AM",0,602
CD | Digiday: The state of commerce content-COMS-EXV-NAM-0523.Content download follow-up,1,1,100.00%,0,0,0,0,0.00%,0,0.00%,,0,0.00%,"Jun 20, 2023 6:31 PM","Jun 20, 2023 6:31 PM",0,0
CD | Discover and recruit influencer partners-INFL-IGC-0922.Content download follow-up,2,2,100.00%,0,0,0,1,50.00%,1,50.00%,100.00%,0,0.00%,"Oct 6, 2023 12:55 PM","Jan 9, 2024 6:52 AM",0,95
CD | Discover untold treasures in 7 successful influencer stories-INFL-EBK-0922.Content download follow-up,50,48,96.00%,1,1,0,33,68.80%,7,14.60%,21.20%,1,2.10%,"Jun 22, 2023 7:21 AM","Apr 10, 2025 8:36 PM",0,659
CD | eCommerce Influencer Marketing in SEA-INFL-RRT-SEA-0923.Content download follow-up v 2023,123,112,91.10%,7,3,0,56,50.00%,18,16.10%,32.10%,1,0.90%,"Oct 5, 2023 2:55 AM","Jan 5, 2025 4:00 PM",0,459
CD | Effectively setup your publisher contracts-PARM-WKS-0722.Content download follow-up,6,5,83.30%,1,0,0,4,80.00%,1,20.00%,25.00%,0,0.00%,"Jun 29, 2023 6:38 AM","Jul 8, 2024 6:23 AM",0,375
CD | Ellos-INFL-CSB-NA-1122.Content download follow-up,9,8,88.90%,1,0,0,7,87.50%,2,25.00%,28.60%,0,0.00%,"Jul 11, 2023 11:09 AM","Sep 7, 2024 1:59 AM",0,424
CD | Envato (testimonial video)-PARS-CTV-NAM-IMP-1023.Content download follow-up,8,8,100.00%,0,0,0,5,62.50%,4,50.00%,80.00%,0,0.00%,"Oct 5, 2023 9:55 AM","Nov 16, 2023 2:19 AM",0,42
CD | Essential partnerships platform launch kit-PARS-AFFA-KIT-1022.Content download follow-up,8,8,100.00%,0,0,0,6,75.00%,1,12.50%,16.70%,0,0.00%,"Jun 26, 2023 9:00 AM","Feb 24, 2025 12:30 AM",0,609
CD | Fanatics Customer Testimonal-PARS-CTV-0623.Content download follow-up,2,2,100.00%,0,0,0,2,100.00%,0,0.00%,,0,0.00%,"Jun 28, 2023 9:37 AM","Jul 5, 2023 9:55 PM",0,8
CD | Flower Chimp-AFFA-RETL-CSB-SEA-IMP-0923.Content download follow-up v 2023,4,2,50.00%,1,1,0,2,100.00%,0,0.00%,,0,0.00%,"Nov 1, 2023 6:16 AM","Jan 15, 2025 9:50 AM",0,441
CD | GetSmarter-INFL-CSB-NAM-CRT-0723.Content download follow-up,6,5,83.30%,1,0,0,2,40.00%,0,0.00%,,0,0.00%,"Jul 17, 2023 8:07 AM","Feb 5, 2024 7:34 AM",0,203
CD | Great Pet Care-COMS-PUMB-CSP-TRX-0523.Content download follow-up,6,6,100.00%,0,0,0,5,83.30%,0,0.00%,,0,0.00%,"Jun 7, 2023 7:42 AM","Feb 12, 2024 3:52 PM",0,250
CD | Homage Case Study-PARS-CSP-IMP-1023.Content download follow-up v 2023,5,5,100.00%,0,0,0,3,60.00%,0,0.00%,,0,0.00%,"Nov 2, 2023 7:43 AM","Jan 22, 2024 2:36 PM",0,81
CD | How publishers can prepare commerce content for long haul-INTE-EBK-TRX-0922.Content download follow-up,2,2,100.00%,0,0,0,2,100.00%,1,50.00%,50.00%,0,0.00%,"Nov 9, 2023 2:30 PM","Nov 24, 2023 12:31 AM",0,14
CD | How to align audiences and partners with business objectives-PARS-WKS-1122.Content download follow-up,48,46,95.80%,1,1,0,33,71.70%,11,23.90%,33.30%,0,0.00%,"Jul 15, 2023 11:18 AM","May 30, 2025 12:16 PM",0,685
CD | How to correctly compensate your influencers-INFL-VID-0123.Content download follow-up,1,1,100.00%,0,0,0,1,100.00%,0,0.00%,,0,0.00%,"Jul 12, 2023 12:33 AM","Jul 12, 2023 3:10 AM",0,0
CD | How to determine if an agency is an ideal partner-Agency-WKS-1022.Content download follow-up,2,1,50.00%,0,1,0,0,0.00%,0,0.00%,,0,0.00%,"Jul 15, 2023 10:47 AM","Oct 3, 2023 10:37 PM",0,80
CD | How to Evaluate and Optimize Your Partner Relationships-PARS-WKS-1022.Content download follow-up,3,2,66.70%,0,1,0,1,50.00%,0,0.00%,,0,0.00%,"Sep 11, 2023 7:27 PM","Nov 16, 2023 7:00 AM",0,65
CD | How to Evaluate Your Partner Relationships-PARS-WKS-1122.Content download follow-up,36,35,97.20%,0,1,0,28,80.00%,8,22.90%,28.60%,0,0.00%,"Jul 15, 2023 2:36 AM","May 22, 2025 7:11 PM",0,678
CD | How to set up a finance schedule for your brand-FINS-WKS-0922.Content download follow-up,25,25,100.00%,0,0,0,20,80.00%,6,24.00%,30.00%,0,0.00%,"Sep 27, 2023 9:19 PM","May 30, 2025 1:32 PM",0,611
CD | HubSpot increase in Revenue-BRB-CSB-NAM-0623.Content download follow-up,42,42,100.00%,0,0,0,28,66.70%,7,16.70%,25.00%,1,2.40%,"Jun 30, 2023 12:38 PM","May 15, 2025 5:44 AM",0,685
CD | Identify opportunities to streamline partnership program-PARS-WKS-0922.Content download follow-up,2,2,100.00%,0,0,0,1,50.00%,0,0.00%,,0,0.00%,"Jul 15, 2023 10:18 AM","Nov 16, 2023 7:00 AM",0,124
CD | IG Group migrates to impact grows partnerships 128%-FINS-CSB-IMP-NAM-1223.Content download follow-up v 2023,4,4,100.00%,0,0,0,2,50.00%,0,0.00%,,0,0.00%,"Dec 11, 2023 2:14 AM","Jan 5, 2024 2:39 PM",0,26
CD | impact Starter Edition-PARS-OST-1022.Content download follow-up,2,2,100.00%,0,0,0,1,50.00%,1,50.00%,100.00%,0,0.00%,"Feb 2, 2024 8:46 AM","Jun 5, 2024 4:39 AM",0,124
CD | impact x Shopify partnerships create retail consumer journey-PARS-RETL-EXV-0922.Content download follow-up,39,38,97.40%,1,0,0,30,78.90%,12,31.60%,40.00%,0,0.00%,"Jun 29, 2023 8:10 AM","Apr 24, 2025 12:03 PM",0,665
CD | impact.com + Power Retail Market Report-PARS-MKR-APAC-0722.Content download follow-up,3,3,100.00%,0,0,0,2,66.70%,0,0.00%,,0,0.00%,"Sep 25, 2023 9:01 AM","Nov 14, 2023 7:30 PM",0,50
CD | impact.com + Shopify integration guide for agencies-RETL-HTE-Division-0922.Content download follow-up,1,1,100.00%,0,0,0,0,0.00%,0,0.00%,,0,0.00%,"Nov 9, 2023 3:35 PM","Nov 9, 2023 3:35 PM",0,0
CD | impact.com Service Operation-INFL-OST-NAM-CRT-0623.Content download follow-up,4,4,100.00%,0,0,0,3,75.00%,2,50.00%,66.70%,0,0.00%,"Jun 14, 2023 8:08 AM","Nov 9, 2023 5:14 AM",0,148
CD | Improve your commerce content with automation-COMC-PUBL-IGC-NAM-0323.Content download follow-up,1,1,100.00%,0,0,0,1,100.00%,0,0.00%,,0,0.00%,"Aug 9, 2023 9:53 AM","Aug 9, 2023 10:10 AM",0,0
CD | Influencer marketing with impact creator-AFFA-INFL-OSB-NAM-0623.Content download follow-up,2,2,100.00%,0,0,0,0,0.00%,0,0.00%,,0,0.00%,"Nov 1, 2023 8:17 AM","Feb 2, 2024 8:46 AM",0,93
CD | iPX Creator Launch Dave and Max-INFL-PARS-VID-0723.Content download follow-up - new,24,22,91.70%,1,1,0,17,77.30%,11,50.00%,64.70%,0,0.00%,"Jul 12, 2023 9:25 AM","Feb 25, 2025 6:44 PM",0,594
CD | Jane.com x Segment Case Study-INFL-INTE-CSB-PMP-0223.Content download follow-up,5,5,100.00%,0,0,0,4,80.00%,0,0.00%,,0,0.00%,"Jun 27, 2023 3:06 AM","Aug 12, 2024 9:35 AM",0,412
CD | Jumpstart-INFL-PARS-OST-NAM-0623.Content download follow-up,3,3,100.00%,0,0,0,2,66.70%,2,66.70%,100.00%,0,0.00%,"Jul 27, 2023 2:06 PM","Nov 12, 2024 6:04 PM",0,474
CD | Kick off with influencers and affiliates-INFL-IGC-STU-1122.Content download follow-up,4,3,75.00%,1,0,0,2,66.70%,1,33.30%,50.00%,0,0.00%,"Jul 20, 2023 5:23 PM","Nov 25, 2023 2:26 AM",0,127
CD | Kiss the Ground-INFL-CSB-STU-0722.Content download follow-up,3,3,100.00%,0,0,0,1,33.30%,0,0.00%,,0,0.00%,"Jul 12, 2023 12:41 AM","Oct 6, 2023 10:24 AM",0,86
CD | LiveRamp x impact-PARS-OSB-0723.Content download follow-up,2,2,100.00%,0,0,0,2,100.00%,1,50.00%,50.00%,0,0.00%,"Jul 18, 2023 7:45 AM","Sep 7, 2023 6:54 PM",0,51
CD | MERGE helps Mizzen+Main-AGEN-INFL-CSB-0123.Content download follow-up,1,1,100.00%,0,0,0,1,100.00%,0,0.00%,,0,0.00%,"Jul 31, 2023 6:29 PM","Jul 31, 2023 6:29 PM",0,0
CD | Mobile app fraud prevention-MOBI-HTE-PMP-0423.Content download follow-up,6,5,83.30%,0,1,0,3,60.00%,0,0.00%,,0,0.00%,"Jun 19, 2023 4:13 AM","Jan 26, 2024 12:21 PM",0,221
CD | MVP Creator-INFL-PARS-OST-NAM-0723.Content download follow-up,2,2,100.00%,0,0,0,1,50.00%,0,0.00%,,0,0.00%,"Sep 18, 2023 7:27 PM","Feb 2, 2024 8:49 AM",0,137
CD | NBC News Branded Content Studio-PUMB-CSP-NAM-PSP-0523.Content download follow-up,11,11,100.00%,0,0,0,9,81.80%,2,18.20%,22.20%,0,0.00%,"Jun 13, 2023 1:30 PM","Dec 22, 2023 11:36 AM",0,192
CD | Nurx x Acceleration Partners-PARS-CSP-0922.Content download follow-up,1,1,100.00%,0,0,0,1,100.00%,1,100.00%,100.00%,0,0.00%,"Jun 28, 2023 11:08 PM","Jul 5, 2023 2:08 PM",0,7
CD | Outside x Pressboard-PUMB-CSP-NAM-PSB-0623.Content download follow-up,5,5,100.00%,0,0,0,3,60.00%,0,0.00%,,0,0.00%,"Jul 2, 2023 1:55 AM","Nov 3, 2023 12:51 PM",0,124
CD | Paid Search Monitoring-PARS-AFFA-AGEN-OST-1222.Content download follow-up,1,1,100.00%,0,0,0,1,100.00%,0,0.00%,,0,0.00%,"Feb 13, 2024 11:10 AM","Feb 13, 2024 2:58 PM",0,0
CD | Partner’s ultimate guide to getting started on impact-PARM-EBK-1022.Content download follow-up,12,12,100.00%,0,0,0,9,75.00%,2,16.70%,22.20%,0,0.00%,"Jun 24, 2023 11:13 PM","Mar 4, 2025 2:19 PM",0,619
CD | Partnership manager’s guide to surviving economic downturn-PARS-EBK-1022.Content download follow-up,10,10,100.00%,0,0,0,2,20.00%,2,20.00%,100.00%,0,0.00%,"Jun 22, 2023 10:05 AM","Jan 22, 2025 3:37 PM",0,580
CD | Partnerships on the go-MOBI-OSP-NAM-IMP-0623.Content download follow-up,3,3,100.00%,0,0,0,3,100.00%,2,66.70%,66.70%,0,0.00%,"Jun 14, 2023 8:09 AM","Feb 2, 2024 8:49 AM",0,233
CD | PC - Case Study - Coach's perfume launch.Content download follow-up,5,5,100.00%,0,0,0,3,60.00%,0,0.00%,,0,0.00%,"Jun 6, 2023 6:08 PM","Aug 28, 2024 8:15 AM",0,449
CD | PC - Case Study - Taylor Stitch x Hawke Media.Content download follow-up,2,2,100.00%,0,0,0,1,50.00%,0,0.00%,,0,0.00%,"Jul 31, 2023 6:27 PM","Jan 22, 2024 1:11 PM",0,175
CD | PC - CS - AU Case Study for LVLY.Content download follow-up,1,1,100.00%,0,0,0,0,0.00%,0,0.00%,,0,0.00%,"Oct 6, 2023 10:32 AM","Oct 6, 2023 10:32 AM",0,0
CD | PC - CS - LightintheBox.Content download follow-up,1,1,100.00%,0,0,0,0,0.00%,0,0.00%,,0,0.00%,"Jul 20, 2023 1:32 AM","Jul 20, 2023 1:32 AM",0,0
CD | PC - Data Sheet - 4 email templates for partner recruitment.Content download follow-up,442,435,98.40%,0,7,0,274,63.00%,95,21.80%,34.70%,3,0.70%,"Jun 8, 2023 5:14 AM","Jun 5, 2025 9:12 AM",0,728
CD | PC - Data Sheet - How to set up a successful influencer program.Content follow-up email,14,10,71.40%,0,4,0,7,70.00%,2,20.00%,28.60%,0,0.00%,"Jul 15, 2023 12:18 PM","May 5, 2025 8:11 AM",0,660
CD | PC - Data Sheet - Who is impact.com for publishers.Content download follow-up,1,1,100.00%,0,0,0,1,100.00%,0,0.00%,,0,0.00%,"Sep 20, 2023 5:08 PM","Sep 20, 2023 5:08 PM",0,0
CD | PC - IG - 10 best practices for a perfect affiliate partnerships flight.Content download follow-up,4,4,100.00%,0,0,0,4,100.00%,1,25.00%,25.00%,0,0.00%,"Jun 29, 2023 6:42 AM","Nov 18, 2024 2:08 AM",0,508
CD | PC - Kit - Ultimate affiliate program starter kit.Content download follow-up,26,24,92.30%,0,2,0,17,70.80%,5,20.80%,29.40%,0,0.00%,"Jun 13, 2023 12:17 PM","May 22, 2025 6:52 PM",0,709
CD | PC - Kit - Ultimate influencer program starter kit.Content download follow-up,278,242,87.10%,20,16,0,149,61.60%,46,19.00%,30.90%,2,0.80%,"Jun 27, 2023 12:19 AM","Apr 10, 2025 6:17 AM",0,653
CD | PC - PDF - Advertising is dead (DE).Content download follow-up - new (DE),1,1,100.00%,0,0,0,1,100.00%,0,0.00%,,0,0.00%,"Sep 21, 2023 5:11 AM","Sep 21, 2023 5:24 AM",0,0
CD | PC - PDF - Advertising is dead.Content download follow-up - new,53,51,96.20%,1,1,0,37,72.50%,22,43.10%,59.50%,0,0.00%,"Jun 14, 2023 1:27 PM","May 29, 2025 9:08 AM",0,715
CD | PC - PDF - Field Guide to Strategic B2B Partnerships.Content download follow-up,33,32,97.00%,1,0,0,19,59.40%,5,15.60%,26.30%,1,3.10%,"Aug 8, 2023 3:09 PM","Jun 2, 2025 8:57 AM",0,664
CD | PC - PDF - How partnerships help brands enter new markets.Content download follow-up,1,1,100.00%,0,0,0,1,100.00%,0,0.00%,,0,0.00%,"Oct 3, 2023 2:53 PM","Oct 4, 2023 9:55 AM",0,1
CD | PC - PDF - How to Manage an Affiliate Program Effectively.Content download follow-up,40,36,90.00%,3,1,0,22,61.10%,11,30.60%,50.00%,0,0.00%,"Jun 8, 2023 11:18 PM","May 30, 2025 1:48 PM",0,722
CD | PC - PDF - Influencer marketing strategies for holiday success.Follow-up email,1,1,100.00%,0,0,0,1,100.00%,0,0.00%,,0,0.00%,"Aug 16, 2023 2:14 AM","Aug 16, 2023 2:17 AM",0,0
CD | PC - PDF - Ultimate Guide to Affiliate Marketing.Content download follow-up,195,184,94.40%,7,4,0,113,61.40%,48,26.10%,42.50%,0,0.00%,"Jun 7, 2023 8:51 AM","Apr 13, 2025 6:20 AM",0,676
CD | PC - PDF - Ultimate Guide to Influencer Marketing.Content download follow-up,544,522,96.00%,16,6,0,316,60.50%,83,15.90%,26.30%,10,1.90%,"Jun 15, 2023 10:45 PM","Jun 6, 2025 6:53 AM",0,721
CD | PC - PDF - Ultimate guide to partnership marketing.Content download follow-up,280,263,93.90%,7,10,0,144,54.80%,36,13.70%,25.00%,5,1.90%,"Jun 12, 2023 12:43 PM","Jun 5, 2025 8:18 AM",0,724
CD | PC - PDF - WARC Research Report-0822.Content download follow-up,250,225,90.00%,13,12,0,124,55.10%,33,14.70%,26.60%,0,0.00%,"Jun 7, 2023 3:12 PM","Jun 1, 2025 1:29 PM",0,725
CD | PC - Video - Getting started on impact.com.Content download follow-up,24,24,100.00%,0,0,0,16,66.70%,7,29.20%,43.80%,0,0.00%,"Jul 2, 2023 5:55 AM","Mar 4, 2025 2:11 PM",0,611
CD | PC - Video - LVLY Testimonial Video.Content download follow-up,2,2,100.00%,0,0,0,1,50.00%,0,0.00%,,0,0.00%,"Aug 16, 2023 7:36 PM","Oct 10, 2023 3:08 PM",0,55
CD | PC - Video - Trevor Noah with David Yovanno.Content download follow-up,2,2,100.00%,0,0,0,2,100.00%,0,0.00%,,0,0.00%,"Jun 12, 2023 2:35 AM","Jan 8, 2024 8:49 PM",0,211
CD | Planning the next steps for your partnerships program-PARS-WKS-1122.Content download follow-up,39,37,94.90%,1,1,0,24,64.90%,5,13.50%,20.80%,0,0.00%,"Jun 27, 2023 7:16 PM","Jun 5, 2025 8:59 AM",0,709
CD | PM - IG - Important Types of Influencers.Content download follow-up,10,10,100.00%,0,0,0,7,70.00%,2,20.00%,28.60%,0,0.00%,"Jun 7, 2023 4:06 PM","Apr 17, 2025 9:23 AM",0,680
CD | PM - PDF - Manage Influencers.Content download follow-up,162,154,95.10%,5,3,0,101,65.60%,18,11.70%,17.80%,4,2.60%,"Jun 7, 2023 4:46 AM","Jun 3, 2025 6:25 PM",0,728
CD | Pressboard Benchmark Report 2022-PUBL-RRT-PSB-0323.Content download follow-up,2,1,50.00%,0,1,0,0,0.00%,0,0.00%,,0,0.00%,"Jun 21, 2023 7:03 AM","Oct 23, 2023 5:12 PM",0,124
CD | Pressboard Benchmark Report-PUBL-RRT-PSB-1022.Content download follow-up,3,3,100.00%,0,0,0,2,66.70%,2,66.70%,100.00%,0,0.00%,"Dec 4, 2023 12:57 AM","Feb 4, 2025 1:40 AM",0,428
CD | Publisher's guide to scaling a branded content program-PUMB-PBK-NAM-0823.Content download follow-up,4,4,100.00%,0,0,0,3,75.00%,0,0.00%,,0,0.00%,"Sep 2, 2023 11:21 AM","Nov 24, 2023 12:31 AM",0,83
CD | Pulse Report: Modern Approaches to Marketing-pars-rrt-imp-ev-nam-0324.Content download follow-up v 2024,19,18,94.70%,0,1,0,6,33.30%,2,11.10%,33.30%,0,0.00%,"Jun 6, 2024 2:23 PM","May 30, 2025 12:08 AM",0,357
CD | Recipe for success-How to succeed in partnership marketing-PARS-EBK-0922.Content download follow-up,3,3,100.00%,0,0,0,2,66.70%,2,66.70%,100.00%,0,0.00%,"Sep 12, 2023 6:02 AM","Oct 31, 2023 7:35 PM",0,50
"CD | Recruit, diversify, engage-PARS-VID-1222.Content download follow-up",1,1,100.00%,0,0,0,1,100.00%,1,100.00%,100.00%,0,0.00%,"Jul 18, 2023 1:01 PM","Jul 18, 2023 1:11 PM",0,0
CD | Revlifter x Home Improvement Brand-PART-MARG-CSP-IMP-1023.Content download follow-up v 2023,5,5,100.00%,0,0,0,3,60.00%,2,40.00%,66.70%,0,0.00%,"Oct 25, 2023 10:05 AM","Jan 5, 2024 2:50 PM",0,72
CD | Rinck Advertising x TONI&GUY-PARS-CSB-STU-0822.Content download follow-up,4,4,100.00%,0,0,0,4,100.00%,0,0.00%,,0,0.00%,"Jan 18, 2024 1:47 PM","Jun 5, 2025 5:03 PM",0,504
CD | Round Barn Labs (testimonial video)-PARS-CTV-NAM-IMP-0923.Content download follow-up,1,0,0.00%,0,1,0,0,,0,,,0,,"Sep 18, 2023 2:02 PM","Sep 18, 2023 11:05 PM",0,0
CD | Rugs Direct-PARS-CSB-PMP-0323.Content download follow-up,3,3,100.00%,0,0,0,1,33.30%,1,33.30%,100.00%,0,0.00%,"Jun 28, 2023 12:51 PM","Jan 29, 2024 8:42 AM",0,215
CD | Scaling Influencer Marketing Globally-INFL-HTE-EMEA-0923-FRA.Content download follow-up v 2023 - French,2,2,100.00%,0,0,0,2,100.00%,2,100.00%,100.00%,0,0.00%,"Nov 19, 2023 10:16 AM","Jan 25, 2024 7:34 AM",0,67
CD | Search and partnerships: How to find and recruit partners.Content download follow-up v 2024,36,35,97.20%,0,1,0,22,62.90%,9,25.70%,40.90%,0,0.00%,"Nov 7, 2024 5:53 PM","May 29, 2025 10:22 AM",0,203
CD | Sephora-PARS-CSB-SEA-1122.Content download follow-up,201,197,98.00%,3,1,0,116,58.90%,20,10.20%,17.20%,1,0.50%,"Jun 21, 2023 8:48 PM","Jun 5, 2025 1:20 PM",0,715
CD | SharkNinja-PARS-CSB-1122.Content download follow-up,24,23,95.80%,1,0,0,14,60.90%,5,21.70%,35.70%,0,0.00%,"Jul 8, 2023 9:13 AM","May 26, 2025 7:54 PM",0,688
CD | SitePlug x impact.com-MARG-CSP-IMP-1023.Content download follow-up v 2023,7,7,100.00%,0,0,0,5,71.40%,1,14.30%,20.00%,0,0.00%,"Oct 17, 2023 7:48 AM","Jan 5, 2024 2:52 PM",0,80
CD | Skyscanner-AFFA-CSB-NAM-PMP-0623.Content download follow-up,9,9,100.00%,0,0,0,4,44.40%,1,11.10%,25.00%,0,0.00%,"Jul 8, 2023 9:31 AM","Feb 6, 2024 3:39 PM",0,213
CD | Sorare-PARS-CSB-0922.Content download follow-up,3,3,100.00%,0,0,0,2,66.70%,1,33.30%,50.00%,0,0.00%,"Jul 12, 2023 12:36 AM","Oct 6, 2023 10:32 AM",0,86
CD | Stash-FINS-CSB-0922.Content download follow-up,4,4,100.00%,0,0,0,2,50.00%,0,0.00%,,0,0.00%,"Jun 15, 2023 1:48 PM","Apr 18, 2024 7:27 AM",0,308
CD | State of Commerce Content-COMS-IGC-NAM-TRX-0623.Content download follow-up,3,3,100.00%,0,0,0,2,66.70%,1,33.30%,50.00%,0,0.00%,"Jul 31, 2023 4:06 PM","Aug 18, 2023 4:08 AM",0,18
CD | State of influencer marketing for consumers 2023-INFL-RRT-0623.Content download follow-up,339,325,95.90%,12,2,0,185,56.90%,46,14.20%,24.90%,2,0.60%,"Jun 14, 2023 5:38 AM","May 6, 2025 8:10 AM",0,692
