Email Name,Sent,Delivered,% Delivered,Hard Bounced,Soft Bounced,Pending,Opened,% Opened,Clicked Email,% Clicked Email,Clicked to Opened Ratio,Unsubscribed,% Unsubscribed,First Activity (PDT),Last Activity (PDT),Include,days_between
"Newsletter | 20240611 - PC.Impact Newsletter June 11, 2024 - PC - 2024 Template","39,730","38,498",96.90%,183,"1,049",0,"13,556",35.20%,513,1.30%,3.80%,201,0.50%,"Jun 11, 2024 9:00 AM","Jun 4, 2025 11:21 AM",1,358
"Newsletter | 20240709 - PC.Impact Newsletter July 9, 2024 - PC - 2024 Template","42,372","41,003",96.80%,327,"1,042",0,"13,670",33.30%,537,1.30%,3.90%,203,0.50%,"Jul 9, 2024 9:00 AM","Jun 4, 2025 6:29 AM",1,330
"Newsletter | 20240813 - PC.Impact Newsletter August 13, 2024 - PC - 2024 Template","40,630","39,307",96.70%,300,"1,023",0,"13,258",33.70%,647,1.60%,4.90%,192,0.50%,"Aug 13, 2024 9:00 AM","Jun 4, 2025 8:46 AM",1,295
"Newsletter | 20240917 - PC.Impact Newsletter September 17, 2024 - PC - 2024","38,723","37,156",96.00%,452,"1,115",0,"13,414",36.10%,578,1.60%,4.30%,173,0.50%,"Sep 17, 2024 9:00 AM","Jun 4, 2025 12:26 AM",1,260
"Newsletter | 20241008 - PC.Impact Newsletter October 8, 2024 - PC - 2024 Template","38,778","37,452",96.60%,206,"1,119",0,"14,090",37.60%,536,1.40%,3.80%,211,0.60%,"Oct 8, 2024 9:00 AM","Jun 6, 2025 6:08 AM",1,241
"Newsletter | 20241112 - PC.Impact Newsletter November 12, 2024 - PC - 2024 Template","44,334","42,803",96.50%,133,"1,398",0,"17,965",42.00%,723,1.70%,4.00%,188,0.40%,"Nov 12, 2024 9:00 AM","Jun 4, 2025 10:51 AM",1,204
Newsletter | 20241210 - PC.Subject Line Test,"41,645","39,994",96.00%,226,"1,424",0,"16,413",41.00%,579,1.40%,3.50%,178,0.40%,"Dec 10, 2024 9:00 AM","Jun 6, 2025 2:35 AM",1,178
Newsletter | 20250114 - PC.Subject Line Test,"37,426","35,857",95.80%,168,"1,401",0,"13,515",37.70%,576,1.60%,4.30%,155,0.40%,"Jan 14, 2025 9:00 AM","Jun 5, 2025 3:34 PM",1,142
Newsletter | 20250211 - PC.Subject Line Test,"50,426","48,722",96.60%,269,"1,435",0,"22,535",46.30%,621,1.30%,2.80%,317,0.70%,"Feb 11, 2025 9:00 AM","Jun 5, 2025 6:18 PM",1,114
Newsletter | 20250311 - PC.Subject Line Test,"45,748","44,035",96.30%,274,"1,439",0,"15,526",35.30%,570,1.30%,3.70%,221,0.50%,"Mar 11, 2025 9:00 AM","Jun 5, 2025 4:54 AM",1,86
"Newsletter | 20250415 - PC.Impact Newsletter April 15, 2025 - PC - 2024 Template","41,797","40,163",96.10%,157,"1,477",0,"14,992",37.30%,553,1.40%,3.70%,203,0.50%,"Apr 15, 2025 9:00 AM","Jun 5, 2025 3:13 PM",1,51
"Newsletter | 20250513 - PC.Impact Newsletter May 13, 2025 - PC - 2024 Template","49,731","47,979",96.50%,264,"1,487",0,"21,350",44.50%,624,1.30%,2.90%,197,0.40%,"May 13, 2025 9:00 AM","Jun 6, 2025 11:45 AM",0,24
Nurture | 6sense.Email 0: Welcome,"120,498","105,892",87.90%,"10,350","4,262",0,"29,287",27.70%,"1,166",1.10%,4.00%,"1,084",1.00%,"Sep 27, 2023 4:00 PM","Jun 6, 2025 8:35 AM",1,618
"Nurture | 6sense.Email 1 - Awareness - D&R/C&P - The real benefits of partnerships may surprise you, marketer","64,311","60,755",94.50%,"1,059","2,506",0,"17,622",29.00%,320,0.50%,1.80%,309,0.50%,"Oct 4, 2023 11:00 AM","Jun 6, 2025 12:09 PM",1,611
Nurture | 6sense.Email 2 - Awareness - C&P/Track - This channel is growing 50% YoY (and just blew past paid search),"59,847","56,759",94.80%,780,"2,311",0,"15,959",28.10%,299,0.50%,1.90%,277,0.50%,"Oct 11, 2023 11:00 AM","Jun 6, 2025 11:38 AM",1,604
Nurture | 6sense.Email 3 - Consideration - D&R/C&P/Migration - Top brands share their secrets for generating 28% revenue,"72,168","68,403",94.80%,"1,275","2,492",0,"17,694",25.90%,697,1.00%,3.90%,356,0.50%,"Oct 4, 2023 11:01 AM","Jun 6, 2025 10:43 AM",1,611
Nurture | 6sense.Email 4 - Consideration - C&P/Migration - See how 3 brands drive revenue with impact.com,"67,675","64,266",95.00%,"1,014","2,404",0,"16,344",25.40%,556,0.90%,3.40%,264,0.40%,"Oct 11, 2023 11:00 AM","Jun 6, 2025 12:13 PM",1,604
"Nurture | 6sense.Email 5 - Decision - : [first name], let's power [company name]'s partnerships without limits","46,471","44,647",96.10%,498,"1,325",0,"10,006",22.40%,700,1.60%,7.00%,156,0.30%,"May 29, 2024 11:00 AM","Jun 6, 2025 12:10 PM",1,373
Nurture | 6sense.Email 6 - Decision - Migration,"40,347","39,097",96.90%,190,"1,060",0,"8,486",21.70%,650,1.70%,7.70%,115,0.30%,"Jun 5, 2024 11:00 AM","Jun 6, 2025 9:30 AM",1,366
Nurture | Drift.1 Nurture | Influencer Drift: Discover how to get incremental value from affiliates—watch this.,51,50,98.00%,1,0,0,16,32.00%,6,12.00%,37.50%,1,2.00%,"Jun 7, 2023 1:01 PM","Sep 16, 2024 4:36 AM",1,467
"Nurture | Drift.1. Nurture | Affiliate Drift: Get inspired by these affiliate partnerships, [first name]",316,288,91.10%,21,7,0,103,35.80%,18,6.30%,17.50%,3,1.00%,"Jun 7, 2023 1:01 PM","Feb 26, 2025 8:01 PM",1,630
Nurture | Drift.2 Nurture | Influencer Drift: [Starter pack] Ultimate influencer starter kit,48,48,100.00%,0,0,0,14,29.20%,2,4.20%,14.30%,0,0.00%,"Jun 7, 2023 1:01 PM","Sep 19, 2024 8:03 AM",1,470
Nurture | Drift.2. Nurture | Affiliate Drift: [Worksheet] How to find the right partner mix for your affiliate program,718,691,96.20%,7,20,0,220,31.80%,30,4.30%,13.60%,2,0.30%,"Jun 7, 2023 1:01 PM","Mar 5, 2025 8:01 PM",1,637
Nurture | Drift.3 Nurture | Influencer Drift: Get the do’s and don’ts of influencer marketing—is your program mature?,47,47,100.00%,0,0,0,13,27.70%,0,0.00%,,0,0.00%,"Jun 14, 2023 1:01 PM","Sep 26, 2024 8:01 AM",1,470
Nurture | Drift.3. Nurture | Affiliate Drift: Solved! Your toughest affiliate stumpers — get the ebook,696,667,95.80%,8,21,0,182,27.30%,12,1.80%,6.60%,6,0.90%,"Jun 14, 2023 1:01 PM","Mar 20, 2025 8:01 AM",1,645
Nurture | Drift.4: Nurture | Influencer Drift: [Infographic] How organizations generate 314% ROI mature?,45,45,100.00%,0,0,0,14,31.10%,1,2.20%,7.10%,0,0.00%,"Jun 21, 2023 1:01 PM","Oct 3, 2024 8:01 AM",1,470
"Nurture | Drift.4. Nurture | Affiliate Drift: Time to modernize your affiliate program, marketer? Get the ebook",683,653,95.60%,9,21,0,180,27.60%,9,1.40%,5.00%,0,0.00%,"Jun 21, 2023 1:01 PM","Mar 27, 2025 8:00 AM",1,645
Nurture | Drift.5 Nurture | Influencer Drift: Drive influencer performance—discover marketing metrics that matter,45,45,100.00%,0,0,0,14,31.10%,0,0.00%,,1,2.20%,"Jun 28, 2023 1:00 PM","Nov 6, 2024 10:01 AM",1,497
"Nurture | Drift.5. Nurture | Affiliate Drift: Give affiliate partners these 5 things, and you’ll get plenty in return",673,647,96.10%,7,19,0,157,24.30%,20,3.10%,12.70%,2,0.30%,"Jun 28, 2023 1:00 PM","Apr 3, 2025 8:00 AM",1,645
Nurture | Drift.6. Nurture | Affiliate Drift: eBook: Affiliate partnerships have evolved; has your strategy?,669,634,94.80%,13,22,0,177,27.90%,10,1.60%,5.60%,2,0.30%,"Jul 5, 2023 1:00 PM","Apr 10, 2025 8:01 AM",1,645
Nurture | Drift.6. Nurture | Influencer Drift: How to add 100s of micro-influencers without drowning in spreadsheets,44,43,97.70%,1,0,0,10,23.30%,0,0.00%,,1,2.30%,"Jul 5, 2023 1:00 PM","Nov 6, 2024 9:14 AM",1,490
Nurture | Drift.7. Nurture | Affiliate Drift: Hot topic! Affiliates vs. partnerships—what’s the difference? Find out,661,635,96.10%,4,22,0,156,24.60%,7,1.10%,4.50%,2,0.30%,"Jul 12, 2023 1:00 PM","Apr 17, 2025 8:02 AM",1,645
Nurture | Drift.7. Nurture | Influencer Drift: Are you ghosting your influencers? You might be—how to fix it,42,42,100.00%,0,0,0,11,26.20%,0,0.00%,,0,0.00%,"Jul 12, 2023 1:00 PM","Nov 6, 2024 8:43 AM",1,483
Nurture | Drift.8. Nurture | Affiliate Drift: Automation doubled this company’s affiliate ROI — read how,656,625,95.30%,10,21,0,157,25.10%,9,1.40%,5.70%,5,0.80%,"Jul 19, 2023 1:00 PM","Apr 24, 2025 8:01 AM",1,645
Nurture | Drift.8. Nurture | Influencer Drift: The key to revenue growth in this one-minute video,42,42,100.00%,0,0,0,9,21.40%,0,0.00%,,0,0.00%,"Jul 19, 2023 1:00 PM","Nov 6, 2024 8:23 AM",1,476
Nurture | Drift.9. Nurture | Affiliate Drift: Discover how to get incremental value from affiliates—watch this,645,616,95.50%,9,20,0,144,23.40%,2,0.30%,1.40%,5,0.80%,"Jul 26, 2023 1:01 PM","May 1, 2025 8:01 AM",1,645
Nurture | German.Email 01 - [Infographic] 4 Powerful Reason to Choose Partnerships,"2,215","1,816",82.00%,331,68,0,583,32.10%,40,2.20%,6.90%,45,2.50%,"Jun 7, 2023 12:01 PM","Jun 6, 2025 10:04 AM",0,730
Nurture | German.Email 02 - [Infographic] The Big Payoff,563,543,96.40%,6,14,0,178,32.80%,7,1.30%,3.90%,8,1.50%,"Jun 7, 2023 12:01 PM","Jun 5, 2025 12:00 AM",0,728
Nurture | German.Email 03 - impact.com invites you to a digital coffee break,473,451,95.30%,9,14,0,157,34.80%,4,0.90%,2.50%,9,2.00%,"Jun 14, 2023 12:01 PM","Jun 5, 2025 12:18 AM",0,722
Nurture | German.Email 04 - [Case Study] Invest in Partnerships,435,415,95.40%,7,13,0,141,34.00%,6,1.40%,4.30%,6,1.40%,"Jun 21, 2023 12:01 PM","May 22, 2025 1:01 AM",0,701
Nurture | German.Email 05 - [Ebook] What's the Channel Hotter Than Paid Search?,419,400,95.50%,7,12,0,123,30.80%,6,1.50%,4.90%,3,0.80%,"Jun 28, 2023 12:00 PM","Jun 1, 2025 1:04 AM",0,704
Nurture | German.Email 06 - impact.com invites you to a digital coffee break,398,377,94.70%,11,10,0,125,33.20%,5,1.30%,4.00%,4,1.10%,"Jul 5, 2023 12:00 PM","Jun 5, 2025 9:02 AM",0,701
Nurture | German.Email 07 - ROI Estimator,378,359,95.00%,8,11,0,110,30.60%,6,1.70%,5.50%,2,0.60%,"Jul 12, 2023 12:00 PM","Jun 5, 2025 3:15 AM",0,694
Nurture | German.Email 08 - [Ebook] Advertising is Dead,363,345,95.00%,9,9,0,103,29.90%,9,2.60%,8.70%,4,1.20%,"Jul 19, 2023 12:00 PM","Jun 5, 2025 12:00 AM",0,687
Nurture | German.Email 09 - [Case Study] eve Sleep,348,332,95.40%,5,11,0,100,30.10%,4,1.20%,4.00%,0,0.00%,"Jul 26, 2023 12:01 PM","Jun 5, 2025 12:23 AM",0,680
Nurture | German.Email 10 - impact.com invites you to a digital coffee break,322,305,94.70%,6,11,0,93,30.50%,5,1.60%,5.40%,4,1.30%,"Aug 2, 2023 12:00 PM","Jun 5, 2025 2:14 AM",0,673
Nurture | German.Email 11 - [Ebook] Partnerships In Action,297,279,93.90%,6,12,0,75,26.90%,5,1.80%,6.70%,1,0.40%,"Aug 9, 2023 12:00 PM","May 29, 2025 12:00 AM",0,659
Nurture | German.Email 12 - [Case Study] Vivino,269,252,93.70%,5,12,0,71,28.20%,6,2.40%,8.50%,2,0.80%,"Aug 16, 2023 12:00 PM","Jun 5, 2025 12:00 AM",0,659
Nurture | German.Email 13 - Time to say goodbye,257,242,94.20%,3,12,0,70,28.90%,6,2.50%,8.60%,1,0.40%,"Aug 23, 2023 5:00 PM","Jun 5, 2025 12:00 AM",0,651
Nurture | Influencer (Retail Competitors).Email 4 - Speed up your gifting,1,1,100.00%,0,0,0,1,100.00%,0,0.00%,,0,0.00%,"Jun 7, 2023 12:01 PM","Jun 8, 2023 9:18 PM",1,1
Nurture | Influencer (Retail Competitors).Email 5 - Unlimit the limits,1,1,100.00%,0,0,0,1,100.00%,0,0.00%,,0,0.00%,"Jun 14, 2023 12:01 PM","Jun 15, 2023 8:26 PM",1,1
Nurture | Influencer (Retail Competitors).Email 6 - Ante up your payments,1,1,100.00%,0,0,0,0,0.00%,0,0.00%,,0,0.00%,"Jun 21, 2023 12:01 PM","Jun 22, 2023 7:01 AM",1,1
Nurture | Influencer (Retail Competitors).Email 7 - This is the world now,1,1,100.00%,0,0,0,0,0.00%,0,0.00%,,0,0.00%,"Jun 28, 2023 12:00 PM","Jun 29, 2023 7:00 AM",1,1
Nurture | Onboarding.Email 1,339,324,95.60%,14,1,0,232,71.60%,70,21.60%,30.20%,4,1.20%,"Jun 8, 2023 12:01 PM","Apr 25, 2025 6:15 AM",0,687
