Date,Total spent,Impressions,Clicks,CTR,CPM,CPC,Leads,Lead Conv. Rate,Cost per lead,Web Conv,Web CVR,Cost per Web Conv
"Jul 9, 2025",6178.894690665175,62725,480,0.007652451175767238,98.5076873760889,12.872697272219115,39,0.08125,158.43319719654295,0,0,null
"Jul 8, 2025",12215.499999999995,148411,1035,0.006973876599443437,82.30858898599156,11.802415458937192,64,0.06183574879227053,190.86718749999991,1,0.000966183574879227,12215.499999999995
"Jul 7, 2025",12481.57,153954,1077,0.0069955960871429124,81.07337256583135,11.58920148560817,90,0.08356545961002786,138.68411111111112,12,0.011142061281337047,1040.1308333333334
"Jul 6, 2025",10778.230000000001,114308,949,0.008302131084438535,94.29112573048256,11.357460484720761,62,0.06533192834562697,173.84241935483874,1,0.001053740779768177,10778.230000000001
"Jul 5, 2025",10139.729999999996,103087,917,0.008895399031885689,98.36089904643647,11.057502726281347,53,0.05779716466739367,191.31566037735843,1,0.0010905125408942203,10139.729999999996
"Jul 4, 2025",7221.34,68335,610,0.008926611546059853,105.67556888856369,11.838262295081968,48,0.07868852459016394,150.44458333333333,0,0,null
"Jul 3, 2025",9583.050000000003,92313,800,0.008666168361985853,103.81040590166069,11.978812500000004,70,0.0875,136.90071428571432,4,0.005,2395.7625000000007
"Jul 2, 2025",9008.379999999997,99972,782,0.007822190213259713,90.10903052854796,11.519667519181583,62,0.0792838874680307,145.29645161290318,18,0.023017902813299233,500.4655555555554
"Jul 1, 2025",9263.44,92465,808,0.008738441572486887,100.18320445574001,11.464653465346535,65,0.08044554455445545,142.51446153846155,7,0.008663366336633664,1323.3485714285714
"Jun 30, 2025",7350.799999999999,76988,586,0.00761157582999948,95.47981503610951,12.544027303754264,44,0.07508532423208192,167.06363636363633,12,0.020477815699658702,612.5666666666666
"Jun 29, 2025",6545.3499999999985,55236,569,0.010301252806140923,118.49789992034178,11.503251318101931,39,0.06854130052724078,167.82948717948713,2,0.0035149384885764497,3272.6749999999993
"Jun 28, 2025",7710.009999999999,62518,619,0.009901148469240858,123.32464250295914,12.455589660743133,37,0.05977382875605816,208.37864864864864,0,0,null
"Jun 27, 2025",7729.66,82186,638,0.0077628793225123505,94.05081157374735,12.115454545454545,54,0.08463949843260188,143.14185185185184,10,0.01567398119122257,772.966
"Jun 26, 2025",9468.63,105463,776,0.00735803077856689,89.78153475626523,12.201842783505153,50,0.06443298969072164,189.37259999999998,5,0.006443298969072165,1893.7259999999999
"Jun 25, 2025",8377.049999999996,83483,630,0.0075464465819388375,100.3443814908424,13.296904761904756,63,0.1,132.96904761904756,5,0.007936507936507936,1675.4099999999992
"Jun 24, 2025",8476.87,88394,658,0.0074439441591058215,95.89870353191395,12.882781155015198,49,0.07446808510638298,172.99734693877554,36,0.0547112462006079,235.46861111111113
"Jun 23, 2025",8031.400000000001,78372,622,0.007936507936507936,102.4779257898229,12.912218649517685,51,0.0819935691318328,157.47843137254904,15,0.024115755627009645,535.4266666666667
"Jun 22, 2025",7229.980000000002,64127,607,0.009465591716437695,112.74470971665605,11.911004942339378,36,0.05930807248764415,200.83277777777784,5,0.008237232289950576,1445.9960000000005
"Jun 21, 2025",7193.019999999999,59511,606,0.010182991379744922,120.86874695434454,11.869669966996698,37,0.06105610561056106,194.40594594594592,0,0,null
"Jun 20, 2025",7880.95,81305,644,0.007920792079207921,96.93069306930694,12.237499999999999,55,0.08540372670807453,143.29,3,0.004658385093167702,2626.983333333333
"Jun 19, 2025",9212.600000000002,92938,704,0.00757494243474144,99.12629925326564,13.086079545454549,67,0.09517045454545454,137.50149253731345,3,0.004261363636363636,3070.8666666666672
"Jun 18, 2025",8163.939999999999,94963,663,0.0069816665438118,85.96969345955792,12.31363499245852,50,0.07541478129713423,163.27879999999996,22,0.033182503770739065,371.08818181818174
"Jun 17, 2025",8576.539999999999,97053,691,0.007119821128661659,88.36965369437316,12.411780028943559,68,0.09840810419681621,126.1255882352941,7,0.010130246020260492,1225.2199999999998
"Jun 16, 2025",7283.97,79805,602,0.007543387005826702,91.27210074556733,12.099617940199336,47,0.07807308970099668,154.978085106383,22,0.036544850498338874,331.0895454545455
"Jun 15, 2025",5922.060000000001,58610,521,0.008889268042996076,101.04180174031738,11.36671785028791,30,0.05758157389635317,197.40200000000004,0,0,null
"Jun 14, 2025",6007.839999999998,62239,538,0.008644097752213243,96.5285431963881,11.16698884758364,34,0.06319702602230483,176.7011764705882,1,0.0018587360594795538,6007.839999999998
"Jun 13, 2025",8003.489999999999,80706,640,0.007930017594726538,99.16846331127796,12.505453124999999,55,0.0859375,145.51799999999997,3,0.0046875,2667.8299999999995
"Jun 12, 2025",8181.859999999999,78365,629,0.008026542461558093,104.40706948254959,13.00772655007949,58,0.09220985691573927,141.06655172413792,4,0.006359300476947536,2045.4649999999997
"Jun 11, 2025",8386.039999999999,80129,664,0.008286637796553057,104.65674100512922,12.629578313253012,66,0.09939759036144578,127.06121212121211,15,0.022590361445783132,559.0693333333332
"Jun 10, 2025",9047.82,104068,718,0.0068993350501595115,86.94142291578582,12.60142061281337,71,0.0988857938718663,127.43408450704224,16,0.022284122562674095,565.48875
"Jun 9, 2025",7200.190000000002,92793,590,0.00635823822917677,77.59410731412933,12.203711864406783,37,0.06271186440677966,194.5997297297298,16,0.02711864406779661,450.01187500000015
"Jun 8, 2025",3845.370000000001,33952,309,0.009101083883129123,113.25901272384544,12.444563106796119,25,0.08090614886731391,153.81480000000002,0,0,null
